a,b,c,d,e,f,g
1,2,34,-1,1,1.077,0.0001
1,2,70,-1,1,1.077,0.0001
1,2,73,-1,1,1.065,0.0001
1,2,74,-1,1,1.065,0.0001
1,2,225,-1,1,1.061,0.0001
1,2,289,-1,1,1.059,0.0001
1,2,349,-1,1,1.05,0.0001
1,2,387,-1,1,1.054,0.0001
1,2,388,-1,1,1.05,0.0001
1,2,502,-1,1,1.042,0.0001
1,2,562,-1,1,1.042,0.0001
1,2,563,-1,1,1.043,0.0001
1,2,611,-1,1,1.042,0.0001
1,2,629,-1,1,1.044,0.0001
1,2,817,-1,1,1.046,0.0001
1,2,860,-1,1,1.046,0.0001
1,2,861,-1,1,1.046,0.0001
1,2,896,-1,1,1.045,0.0001
1,2,898,-1,1,1.044,0.0001
1,2,900,-1,1,1.045,0.0001
1,2,906,-1,1,1.044,0.0001
1,2,47,-1,2,1.073,0.0001
1,2,83,-1,2,1.073,0.0001
1,2,178,-1,2,1.063,0.0001
1,2,248,-1,2,1.061,0.0001
1,2,249,-1,2,1.061,0.0001
1,2,276,-1,2,1.06,0.0001
1,2,314,-1,2,1.06,0.0001
1,2,406,-1,2,1.054,0.0001
1,2,522,-1,2,1.052,0.0001
1,2,639,-1,2,1.047,0.0001
1,2,676,-1,2,1.047,0.0001
1,2,682,-1,2,1.047,0.0001
1,2,688,-1,2,1.051,0.0001
1,2,702,-1,2,1.049,0.0001
1,2,755,-1,2,1.046,0.0001
1,2,785,-1,2,1.052,0.0001
1,2,813,-1,2,1.046,0.0001
1,2,886,-1,2,1.043,0.0001
1,2,899,-1,2,1.043,0.0001
1,2,208,-1,3,1.071,0.0001
1,2,264,-1,3,1.071,0.0001
1,2,320,-1,3,1.07,0.0001
1,2,327,-1,3,1.07,0.0001
1,2,337,-1,3,1.067,0.0001
1,2,342,-1,3,1.068,0.0001
1,2,458,-1,3,1.066,0.0001
1,2,539,-1,3,1.065,0.0001
1,2,556,-1,3,1.065,0.0001
1,2,614,-1,3,1.065,0.0001
1,2,619,-1,3,1.068,0.0001
1,2,701,-1,3,1.064,0.0001
1,2,778,-1,3,1.064,0.0001
1,2,780,-1,3,1.062,0.0001
1,2,835,-1,3,1.062,0.0001
1,3,34,-1,1,0.354,0.0001
1,3,70,-1,1,0.354,0.0001
1,3,73,-1,1,0.35,0.0001
1,3,74,-1,1,0.35,0.0001
1,3,225,-1,1,0.349,0.0001
1,3,289,-1,1,0.348,0.0001
1,3,349,-1,1,0.345,0.0001
1,3,387,-1,1,0.346,0.0001
1,3,388,-1,1,0.345,0.0001
1,3,502,-1,1,0.343,0.0001
1,3,562,-1,1,0.342,0.0001
1,3,563,-1,1,0.343,0.0001
1,3,611,-1,1,0.342,0.0001
1,3,629,-1,1,0.343,0.0001
1,3,817,-1,1,0.344,0.0001
1,3,860,-1,1,0.344,0.0001
1,3,861,-1,1,0.344,0.0001
1,3,896,-1,1,0.344,0.0001
1,3,898,-1,1,0.343,0.0001
1,3,900,-1,1,0.344,0.0001
1,3,906,-1,1,0.343,0.0001
1,3,47,-1,2,0.353,0.0001
1,3,83,-1,2,0.353,0.0001
1,3,178,-1,2,0.349,0.0001
1,3,248,-1,2,0.349,0.0001
1,3,249,-1,2,0.349,0.0001
1,3,276,-1,2,0.348,0.0001
1,3,314,-1,2,0.348,0.0001
1,3,406,-1,2,0.346,0.0001
1,3,522,-1,2,0.346,0.0001
1,3,639,-1,2,0.344,0.0001
1,3,676,-1,2,0.344,0.0001
1,3,682,-1,2,0.344,0.0001
1,3,688,-1,2,0.345,0.0001
1,3,702,-1,2,0.345,0.0001
1,3,755,-1,2,0.344,0.0001
1,3,785,-1,2,0.346,0.0001
1,3,813,-1,2,0.344,0.0001
1,3,886,-1,2,0.343,0.0001
1,3,899,-1,2,0.343,0.0001
1,3,208,-1,3,0.352,0.0001
1,3,264,-1,3,0.352,0.0001
1,3,320,-1,3,0.352,0.0001
1,3,327,-1,3,0.352,0.0001
1,3,337,-1,3,0.351,0.0001
1,3,342,-1,3,0.351,0.0001
1,3,458,-1,3,0.35,0.0001
1,3,539,-1,3,0.35,0.0001
1,3,556,-1,3,0.35,0.0001
1,3,614,-1,3,0.35,0.0001
1,3,619,-1,3,0.351,0.0001
1,3,701,-1,3,0.35,0.0001
1,3,778,-1,3,0.35,0.0001
1,3,780,-1,3,0.349,0.0001
1,3,835,-1,3,0.349,0.0001
1,4,0,-1,1,6.668395609,0.01
1,4,0,-1,2,6.668395609,0.01
1,4,0,-1,3,6.668395609,0.01
