Leitura de dados da rede elétrica...
Main directory: 
 . 
Data sub-folder: 
 /REAL1058 
DBAR ok
leituraDados ok
geraGrafo ok
buscaProfundidadeAlimentadores ok
calculaPU ok
atualizaTaps ok 


busca Completa
Estimador de Estado Branch Current em Coordenadas retangulares com medidas de tensão...
numero barras: 1055
nmed: 6352
nvar: 6316
nmed_complex = 3173
nmed_tensao = 6
3


Iteracao:  0 	|Dx|_inf =  2.80513774416695538 	  


Iteracao:  1 	|Dx|_inf =  0.02434160329611825 	  


Iteracao:  2 	|Dx|_inf =  0.00004705838626588 	  


Iteracao:  3 	|Dx|_inf =  0.00000000701565609 	  

Estimação BC: 1.660378
Tensoes Nodais (p.u.):
0	Va: 1.00000 | 0.000 	Vb: 1.00000 | -120.000	Vc: 1.00000 | 120.000
1	Va: 0.99453 | -2.113 	Vb: 1.04927 | -118.995	Vc: 1.05483 | 117.589
2	Va: 0.99452 | -2.116 	Vb: 1.04929 | -118.995	Vc: 1.05481 | 117.590
3	Va: 0.99446 | -2.139 	Vb: 1.04935 | -118.993	Vc: 1.05475 | 117.593
4	Va: 0.99446 | -2.139 	Vb: 1.04955 | -118.988	Vc: 1.05454 | 117.601
5	Va: 0.99446 | -2.139 	Vb: 1.04966 | -118.986	Vc: 1.05443 | 117.606
6	Va: 0.99446 | -2.139 	Vb: 1.04970 | -118.985	Vc: 1.05439 | 117.608
7	Va: 0.99446 | -2.139 	Vb: 1.04971 | -118.984	Vc: 1.05438 | 117.609
9	Va: 0.99446 | -2.139 	Vb: 1.04977 | -118.983	Vc: 1.05431 | 117.612
10	Va: 0.99447 | -2.139 	Vb: 1.04986 | -118.985	Vc: 1.05430 | 117.619
11	Va: 0.99448 | -2.139 	Vb: 1.04986 | -118.984	Vc: 1.05429 | 117.618
12	Va: 0.99449 | -2.140 	Vb: 1.04986 | -118.984	Vc: 1.05429 | 117.618
13	Va: 0.99449 | -2.140 	Vb: 1.04986 | -118.984	Vc: 1.05430 | 117.619
14	Va: 0.99449 | -2.140 	Vb: 1.04986 | -118.985	Vc: 1.05430 | 117.619
15	Va: 0.99450 | -2.140 	Vb: 1.04986 | -118.985	Vc: 1.05430 | 117.618
16	Va: 0.99453 | -2.141 	Vb: 1.04984 | -118.979	Vc: 1.05426 | 117.616
17	Va: 0.99452 | -2.145 	Vb: 1.04985 | -118.979	Vc: 1.05425 | 117.616
18	Va: 0.99450 | -2.147 	Vb: 1.04982 | -118.980	Vc: 1.05425 | 117.616
19	Va: 0.99450 | -2.147 	Vb: 1.04982 | -118.980	Vc: 1.05425 | 117.616
20	Va: 0.99450 | -2.147 	Vb: 1.04982 | -118.980	Vc: 1.05425 | 117.616
21	Va: 0.99449 | -2.150 	Vb: 1.04978 | -118.980	Vc: 1.05427 | 117.615
22	Va: 0.99449 | -2.150 	Vb: 1.04977 | -118.980	Vc: 1.05428 | 117.615
23	Va: 0.99449 | -2.150 	Vb: 1.04977 | -118.981	Vc: 1.05429 | 117.615
24	Va: 0.99449 | -2.149 	Vb: 1.04976 | -118.981	Vc: 1.05429 | 117.615
25	Va: 0.99449 | -2.149 	Vb: 1.04976 | -118.981	Vc: 1.05429 | 117.614
26	Va: 0.99449 | -2.149 	Vb: 1.04975 | -118.981	Vc: 1.05430 | 117.614
27	Va: 0.99449 | -2.149 	Vb: 1.04978 | -118.980	Vc: 1.05426 | 117.616
28	Va: 0.99448 | -2.150 	Vb: 1.04984 | -118.979	Vc: 1.05420 | 117.619
29	Va: 0.99448 | -2.150 	Vb: 1.04984 | -118.979	Vc: 1.05420 | 117.619
31	Va: 0.99449 | -2.150 	Vb: 1.04976 | -118.981	Vc: 1.05430 | 117.614
33	Va: 0.99448 | -2.150 	Vb: 1.04976 | -118.981	Vc: 1.05430 | 117.614
34	Va: 0.99448 | -2.150 	Vb: 1.04976 | -118.981	Vc: 1.05430 | 117.614
35	Va: 0.99442 | -2.154 	Vb: 1.04976 | -118.981	Vc: 1.05430 | 117.614
36	Va: 0.99438 | -2.156 	Vb: 1.04976 | -118.981	Vc: 1.05430 | 117.614
37	Va: 0.99438 | -2.156 	Vb: 1.04975 | -118.981	Vc: 1.05430 | 117.614
38	Va: 0.99437 | -2.157 	Vb: 1.04975 | -118.981	Vc: 1.05430 | 117.614
39	Va: 0.99437 | -2.157 	Vb: 1.04975 | -118.981	Vc: 1.05430 | 117.614
40	Va: 0.99436 | -2.157 	Vb: 1.04979 | -118.966	Vc: 1.05425 | 117.608
41	Va: 0.99431 | -2.160 	Vb: 1.04985 | -118.948	Vc: 1.05419 | 117.601
42	Va: 0.99428 | -2.162 	Vb: 1.04988 | -118.937	Vc: 1.05415 | 117.596
