Leitura de dados da rede elétrica...
Main directory: 
 . 
Data sub-folder: 
 /IEEE906 
DBAR ok
leitura ok
Estimador de Estado NEC Trifásico...
ref 1: 2721, ref 2: 2723
vl: 1.000000
nmed: 110, nvir: 5329


Iteracao:  0 	|Dx|_inf =  0.01007975371977001 	 |Grad|_inf =  16896417547342189690880.00000000000000000 
.vl: 1.000000
nmed: 110, nvir: 5329


Iteracao:  1 	|Dx|_inf =  0.00000030272184674 	 |Grad|_inf =  16897796317924997201920.00000000000000000 
.
Estimação NEC: 2.164297
Tensoes Nodais (p.u.):
0	Va: 1.00000 | 0.000 	Vb: 1.00000 | -120.000	Vc: 1.00000 | 120.000
1	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
2	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
3	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
4	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
5	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
6	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
7	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
8	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
9	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
10	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
11	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
12	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
13	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
14	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
15	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
16	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
17	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
18	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
19	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
20	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
21	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
22	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
23	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
24	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
25	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
26	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
27	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
28	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
29	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
30	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
31	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
32	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
33	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
34	Va: 0.99992 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
35	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
36	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
37	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
38	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
39	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
40	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
41	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
42	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
43	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
44	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
45	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
46	Va: 1.00000 | -30.000 	Vb: 1.00000 | -150.000	Vc: 1.00000 | 90.000
